VideoID,Start,End,WorkerID,Source,AnnotationTime,Language,Description
hJFBXHtxKIc,204,209,682611,clean,78,Chinese,有人 从 一个 大 玻璃罐 里 倒入 一个 淡红色 的 香肠 。

5K7Ru5s6YIw,8,11,550906,clean,39,Chinese,袋鼠 啃 它 的 食物 。

-wa0umYJVGg,168,176,702553,unverified,38,Chinese,一个 女人 把 菜 放 进 锅 里 滚熟 。

klteYv1Uv9A,27,33,682611,clean,87,Chinese,一个 男人 躺 在 一 辆 正在 行驶 的 摩托车 上 。

swKrHEeOj9c,4,8,232617,unverified,29,Chinese,看似 会 说话 的 猫

qBFSt85-xqk,15,20,550906,unverified,47,Chinese,牛奶 被 放 入 一 大 碗 鸡蛋 里 。

z9qbQX4J_2g,0,14,550906,clean,41,Chinese,一 群 孩子 在 舞台 上 唱歌 。

AjZ-R3LFMzo,18,23,135621,clean,180,Chinese,摩托车 骑手 在 摩托车 上 表演 特技 表演 。

WPG-BIWOrG4,672,677,682611,clean,63,Chinese,一个 男人 正在 用 刀子切 开 一 条 鱼 。

FWzsXeXCwuc,106,110,682611,clean,54,Chinese,一 只 猴子 正 爬 在 雕像 的 头 上 。

WPG-BIWOrG4,683,689,682611,clean,87,Chinese,切割鱼 的 人 用 刀 戳拇指 ， 吸血 。

m1NR0uNNs5Y,160,166,682611,clean,67,Chinese,一个 女人 用 手 剥 大蒜 的 丁香 。

yC4eEuURH8c,19,28,682611,clean,69,Chinese,一 只 小 猫 在 床 上 来回 地 喵喵 叫 。

30GeJHYoerk,80,85,682611,clean,73,Chinese,一个 年轻 女子 在 小 橘色 的 圆 锥体 上 滑冰 。

aRo8x3xXeEA,3,8,411294,clean,17,Chinese,滑雪板 正在 耍花招 。

-rvjK0lE3z4,33,43,682611,clean,76,Chinese,有人 用 刀 把 土豆 切 成 方块 大小 的 碎片 。

yyxtyCaEVqk,329,360,702553,unverified,56,Chinese,一个 人 把 一些 粉末状 的 东西 洒 在 红萝卜片 上面 。

1dmVuwO1RZk,214,220,702553,unverified,40,Chinese,一 对 恋人 在 小船 上 牵手 。

Q-soOsOLIGQ,0,22,682611,clean,67,Chinese,一个 男人 正在 指导 一个 男孩 击球 。

msCidKHOh74,410,418,702553,unverified,27,Chinese,一个 背着 大 行囊 的 男人 在 骑 摩托车 。

NjCqtzZ3OtU,303,307,550906,clean,42,Chinese,一个 女人 把 一个 小 盒子 放 进 嘴里 。

v-9Gx0gJmfo,91,99,682611,clean,103,Chinese,一个 女人 划 独木舟 然后 下船 。

8MVo7fje_oE,113,118,682611,clean,59,Chinese,有人 设置 计时器 并 启动 微波炉 。

Lt1JijkvSKk,0,10,682611,clean,180,Chinese,一 只 动物 坐 在 某人 的 膝盖 上 ， 在 一 辆 车上 玩 着 一个 小 物体 。

_O9kWD8nuRU,25,35,682611,clean,241,Chinese,一个 女人 正在 把 一个 黄色 的 蔬菜 看 起来 像 碎片 。

oFUsn1owAbs,158,168,682611,clean,71,Chinese,一个 女人 在 一个 巨大 的 黑色 浴缸 里 泡泡 泡 浴 。

Ea0thGZKPXA,25,35,155632,clean,35,Chinese,一个 男孩 正在 吹 笛子 。

lsanQj2yacs,102,108,682611,clean,99,Chinese,两 个 女孩 站 在 厨房 的 柜台 上 ， 一个 女孩 在 两 片 面包 上 涂 蛋 黄酱 。

OpR1Er5o6IY,209,217,617730,clean,30,Chinese,一个 男人 摇晃 着 一 只 老鼠 让 蛇 吃 。

IhwPQL9dFYc,61,75,682611,clean,59,Chinese,一个 女人 用 刀 把 土豆 切 成 小 块 。

kquB3rIgfGk,525,532,702553,unverified,30,Chinese,一个 男人 正在 把 黄瓜 切片 。

dvhJGidrrKE,254,260,682611,clean,64,Chinese,一个 女人 在 看 几 个 男人 打架 。

qRoxNXm7INc,58,66,682611,clean,76,Chinese,有 人 在 摩擦 躺 着 的 猫 的 头 。

dvhJGidrrKE,98,101,682611,clean,49,Chinese,一个 女人 被 男人 拍打 ， 而 其他 男人 则 看 着 。

16iNk1hLJt4,37,40,682611,clean,196,Chinese,六 名 年轻 的 跑步者 排 在 跑道 的 起跑线 上 等待 一个 人 告诉 他们 开始 。

ZdlG8fjGJlo,78,87,682611,clean,89,Chinese,有人 把 一 片 青椒 切 成 两 半 ， 加入 搅拌器 中 加入 西红柿 。

lfGlDg47How,361,367,760882,clean,59,Chinese,一个 男人 在 用 电 搅拌器 。

c2a0GcoJAjw,107,129,702553,unverified,48,Chinese,两 个 印度 女孩 在 跳 传统 舞蹈 。

O06WXS_XZN0,0,6,550906,clean,37,Chinese,一个 男人 在 抚摸 一 条 拴 着 的 狗 。

47D9-U8hn5I,11,16,682611,clean,122,Chinese,一 只 猫 ， 它 的 爪子 上 有 袜子 ， 每 一 步 都 在 咖啡桌 上 滑动 ， 最后 从 桌子 上 滑 下来 。

-_hbPLsZvvo,18,25,682611,clean,68,Chinese,一个 女人 把 一 片 西葫芦 切 成 两 半 ， 十 片 薄薄地 切 成 薄片 。

c51L6ZxZGjQ,137,154,682611,clean,118,Chinese,一个 女人 用 金属 抹刀 在 大 面包 上 涂 黄油 。

-vKO3uSG6Do,3,14,682611,clean,69,Chinese,三 个 动画片 中 的 女子 是 同步 舞 。

vfktGc_qx-w,2,18,922727,clean,52,Chinese,两 个 人 正在 做 摩托车 的 把戏 。

zSPBC8EO6dY,122,126,550906,clean,53,Chinese,两 个 人 向 飞行员 打招呼 。

s7znbqra118,91,97,702553,unverified,65,Chinese,一 群 穿 著马 来 传统服 的 人 在 街上 操兵 游行 。

Tied-t1fFsk,15,20,702553,unverified,44,Chinese,一个 牛仔 正在 练习 远 距离 射击 。

u9prcUCHlqM,73,80,682611,clean,112,Chinese,一个 人 在 户外 散步 ， 背着 一个 黑色 的 肩包 和 一个 三脚架 。

aHiUM8uWxxo,17,25,550906,clean,33,Chinese,两 个 男孩 在 玩 玩具 飞机

mF6ijhSrbBQ,32,40,702553,unverified,28,Chinese,一 只 海狮 在 冰 上 滑行 。

rw9h_574HxE,229,236,682611,clean,59,Chinese,一个 男人 搂 着 一个 女人 ， 他们 在 树林 里 散步 。

_WRC7HXBJpU,414,425,651813,clean,35,Chinese,一个 人 正在 往 锅 里 加 水 。

9OvXb1fot74,21,29,651813,clean,29,Chinese,一 则 广告 。

vZa13vJugGU,0,30,702553,unverified,29,Chinese,一个 人 在 用 脚 弹 吉他 。

r4qv_BNlQNk,93,98,682611,clean,425,Chinese,一个 男孩 把 一 大 块 树皮 塞 进 嘴里 。

dfOuTx66bJU,34,39,682611,clean,141,Chinese,一个 走 在 街上 的 人 转 过 身 来 ， 然后 转 过 身 ， 开始 慢 跑 。

giLxPCgLLqg,9,19,702553,unverified,34,Chinese,棒球手 拼命 把 球 救 下来 。

e996zZ0uV_A,152,163,702553,unverified,45,Chinese,一个 少年 把 巧克力 倒 进 大 杯子 里 。

Ar70p1_LcfM,2,20,550906,clean,36,Chinese,玩 电脑 的 小孩

Kxa0mnDj0bs,113,124,772960,clean,257,Chinese,一 只 北极熊 把 它 的 下巴 和 前肢 放 在 雪地 上 ， 用 它 的 后腿 行走 。

ZlX_Gy4HP2E,38,55,702553,unverified,30,Chinese,一个 女生 在 做 体操 。

fr9H1WLcF1A,326,336,682611,clean,64,Chinese,许多 在 栅栏 院子 里 的 男孩 都 在 用 玩具 剑 打仗 。

GPyFZMJ5Dow,56,70,550906,clean,35,Chinese,一个 男人 在 准备 汉堡包 。

ZN2_czSBSD0,240,250,878566,clean,29,Chinese,一个 人 正 奔 向 旷野 中 的 龙卷风 。

v7NpKUVqjpI,23,40,550906,clean,22,Chinese,丛林 中 的 大象 和 驯兽师

eQcUmH0VE90,9,15,702553,unverified,61,Chinese,一个 男人 背著 大 背包 在 走山路 。

UbmZAe5u5FI,16,23,682611,clean,43,Chinese,一个 女人 正在 用 刀子 切 成 薄片 。

s1ZABV7AQdA,38,48,702553,unverified,37,Chinese,一 群 人 追 著 一个 人 跑 。

_7nP9z6T9m8,11,17,232617,unverified,108,Chinese,男子 骑 自行车 撞 牌子

3ytUOoa1SBE,12,23,682611,clean,56,Chinese,舞台 上 演出 的 演员 很多 都 在 跳舞 。

_o1UXSxTjfo,68,80,702553,unverified,26,Chinese,有 个人 在 贩卖 东西 。

hW8TKz2Aea4,5,12,682611,clean,63,Chinese,有人 手里 拿 着 刺猬 。

V6Fxclwdfxc,56,66,550906,unverified,197,Chinese,一 只 鸟 把 球 举 到 梯子 上 。

jlahRlo4jlU,30,36,252681,clean,16,Chinese,一个 男人 正 沿着 一 条 路 走 。

QT8iCDc7NGU,18,23,682611,clean,76,Chinese,一个 戴 着 黄色 橡胶 手套 的 女人 一边 用 一 块 布洗 冰箱 的 顶部 一边 说话 。

p69d3UBdpR8,98,109,878566,clean,19,Chinese,一个 年轻 的 亚洲 女孩 正在 使用 眼线 笔 。

nBFhvrAOFqY,89,103,702553,unverified,41,Chinese,一 只 人 猿 在 脱 衣服 。

ysTmUTQ5wZE,17,45,702553,unverified,45,Chinese,一 只 熊猫 在 学 爬 台阶 。

BtQEY2SL4g4,11,16,682611,clean,186,Chinese,一个 用 杆子 把 一 只 猫 从 一个 像 杆子 一样 高 的 工具 上 推开 ， 猫 一路 跳 到 地上 跑 掉 了 。

yfMTsYcLt10,0,7,550906,clean,28,Chinese,一个 男孩 撞 到 墙上

6pcqRuFEMLs,46,52,702553,unverified,46,Chinese,一个 男子 好象 蜘蛛人 一样 在 栏杆 上 灵活 的 跨 来 跨 去 。

cs33MNhpRNw,16,21,702553,unverified,43,Chinese,一个 男 空务员 在 把 飞机 的 门关 上 。

uqVCk2oDpSE,194,200,682611,clean,70,Chinese,一个 用 刀 把 面包 切 成 两 半 的 人 似乎 割伤 了 自己 。

rwHT2SuNOi8,195,201,702553,unverified,35,Chinese,一个 人 把 肉块 排 在 锡纸 上 。

q3I3R_gqy8M,73,79,682611,clean,117,Chinese,一个 哭 着 的 男人 正 和 躺 在 床 上 的 女人 说话 ， 把 额头 贴 在 她 的 头 上 。

6sKdTbRkahM,6,12,682611,clean,64,Chinese,一个 男人 从 菠萝 上 切下 。

ifS2nXfCyYo,4,34,504413,unverified,125,Chinese,豚鼠 吃 胡蘿蔔 。

QsKIlhn6if8,270,276,682611,clean,73,Chinese,同样 的 男人 和 女人 展示 了 几 个 不同 的 场景 拥抱 。

HPFLN5azwtA,56,63,807872,clean,21,Chinese,獾 挖 洞 。

YXixZrSxefk,6,15,702553,unverified,49,Chinese,一个 人 正在 削 马铃 薯皮 。

73vUksucPz8,12,20,702553,unverified,26,Chinese,一个 女孩 在 拉 小提琴 。

CBD9h0jUq3w,1,7,550906,clean,22,Chinese,在 海滩 上 踢 足球 的 人

VoKJr0EOzCU,136,142,702553,unverified,26,Chinese,一个 人 把 冰箱 的 抽屉 拿 出来 。

_6OTzzK7t9Y,158,170,550906,clean,28,Chinese,一个 男人 正在 弹 钢琴 。

Je3V7U5Ctj4,582,587,682611,clean,45,Chinese,有人 在 面粉 玉米饼 上 撒奶酪 。

CHVhwcOg6y8,1,12,550906,clean,1296,Chinese,贾斯汀·比伯 和 朋友 玩 X 盒 。

J4otiwOjQy8,98,112,682611,clean,94,Chinese,一个 男人 正在 剪 一个 带 紫色皮 的 管状 白色 蔬菜 。

tZzJ9dDnncY,37,41,682611,clean,44,Chinese,一个 穿 着 长裙 的 女人 在 街上 跳舞 。

_WRC7HXBJpU,386,391,651813,clean,17,Chinese,女人 把 锅 放 在 锅 里 。

EdrZtaBUXIo,25,29,682611,clean,70,Chinese,烟 从 南瓜灯 里 冒 出来 。

5XxshEdcfAM,85,100,169605,clean,32,Chinese,一个 男人 在 跳舞 。

ACOmKiJDkA4,161,170,682611,clean,92,Chinese,有人 把 黄色 的 物质 插入 米 球 里 。

RSx5G0_xH48,12,17,702553,unverified,20,Chinese,一 只 小 狗 对 着 镜头 吠叫 。

AEKPjVHSVZc,0,12,682611,clean,83,Chinese,穿 着 龙 服装 的 人们 在 街上 跳舞 。

00jrXRMlZOY,0,10,155632,clean,19,Chinese,一 只 青蛙 正在 抚摸 。

0hyZ__3YhZc,485,490,682611,clean,60,Chinese,有人 在 壶里 搅 辣椒 。

zpgW7m7_LZw,2,15,651813,clean,19,Chinese,一个 小 男孩 在 打 高尔夫球 。

bQJQGoJF7_k,120,126,411294,clean,32,Chinese,那 人 在 搅动油 。

ghynaoVNwZc,1,20,550906,clean,79,Chinese,一 辆 汽车 做 一些 特技 驾驶 。

1rECrfrdNTo,200,207,702553,unverified,53,Chinese,一个 女人 正在 把 蛋 打 进 锅 里 。

8PQiaurIiDM,94,99,682611,clean,69,Chinese,一个 男人 用 剑 把 绳子 吊 在 天花板 上 。

4s_0-zIWEog,1,15,550906,clean,77,Chinese,一个 男孩 在 吃谷类 食品 ， 一边 和 一个 女孩 聊天 。

dJEoDaA6VXc,1,19,550906,clean,138,Chinese,一个 人 骑 着 马 骑 着 圆锥体 ， 一边 射击 。

ZxqkAGNyo8A,12,22,550906,clean,18,Chinese,一个 玩 玩具 钢琴 的 婴儿

idXJu0BQRvo,2,6,922727,clean,82,Chinese,一个 男孩 在 水滑道 上 滑动 。

crfrKqFp0Zg,15,25,760882,clean,51,Chinese,一个 男人 正在 吹 笛子 。

Pr5LQq42l4M,12,17,550906,clean,200,Chinese,一个 戴 假发 的 男人 跳 过 了 一 幢 大楼 。

wNv74rvkAw8,30,40,682611,clean,69,Chinese,五 只 小 猫 一 排 接着 一 圈 正在 吃 掉 盘子 。

c75SIlAjfjg,6,14,702553,unverified,39,Chinese,几 个 小孩 在 台上 跳舞 。

_SNE2MYAotU,41,49,682611,clean,66,Chinese,有 人 在 抚摸 某种 动物 。

jjl2ZMdFCsw,130,142,682611,clean,97,Chinese,一个 人 在 旋转 和 移动 时 正 在 旋转 一 把 剑 。

HqbVbPvlDoM,0,11,702553,unverified,63,Chinese,一个 女人 和 一 只 狗 在 操场 上 表演 。

q8t7iSGAKik,11,31,682611,clean,71,Chinese,一个 人 用 脚 操纵 足球 。

4QdX5Q3qQsQ,6,14,682611,clean,93,Chinese,一个 男人 把手 放在 嘴唇 附近 ， 似乎 在 思考 。

R3a9r8qFlhQ,0,12,702553,unverified,44,Chinese,一个 人 正在 剥蛇皮 。

SzEbtbNSg04,111,117,682611,clean,80,Chinese,有人 从 沸水 锅 里 取出 玻璃 盖子 ， 把 未 煮 的 意大利 面条 放 进 锅 里 。

MUkKFFdpm4E,121,135,702553,unverified,23,Chinese,一 位 驯马师 在 骑黑马 。

MJoxGpEswOI,9,16,504413,unverified,252,Chinese,一 名 男子 在 一 场 篮球 比赛 倒 在 地上 ， 但 投篮 命中 一 杆 。

ngHDYzhDBk4,5,14,682611,clean,98,Chinese,五 个 十几 岁 的 女孩 看 着 他们 的 肩膀 ， 然后 转 过 身 去 ， 把 珠子 抛 向 空中 。

6t0BpjwYKco,53,59,682611,clean,109,Chinese,一个 女人 正在 把 部分 剥皮 的 西葫芦 切 成 碎片 。

KPPCwmU5OHQ,480,486,682611,clean,95,Chinese,有人 用 金属 钳搅 动 一 壶 汤 。

KWK7szRdbrE,80,90,550906,clean,26,Chinese,一 群 妇女 跳舞 。

V--abChiVVc,30,40,702553,unverified,33,Chinese,一 群 人 正在 跳舞 。

nBJV56WUDng,38,47,550906,clean,25,Chinese,一个 拔 香蕉 的 人

77iDIp40m9E,3,9,550906,clean,27,Chinese,小狗 在 妈妈 身上 踢 土 。

qhknaG9ifbs,122,127,682611,clean,155,Chinese,一个 人 在 一个 长 柄 金属 工具 上 摆动 ， 打破 了 一 块 冰 。

hNECyt6Bo0A,5,10,702553,unverified,41,Chinese,三 个 人 在 做 体操 。

I2eWXGaoWko,20,24,702553,unverified,28,Chinese,一 对 男女 坐 在 吉普车 里 兜风 。

sWqi41wyXcQ,68,79,275759,clean,68,Chinese,健美 运动员 正在 做 运动 。

_QJbjKkfdcs,52,57,667288,unverified,60,Chinese,我 看 見 一 位 印度人 在 拉 小提琴 。

iCiGjZEV7VI,65,75,682611,clean,70,Chinese,一个 女人 用 刷子 把 棕色 化妆品 涂 到 眉毛 上 。

ywHBKayhyvQ,19,28,550906,clean,21,Chinese,一个 男孩 走过 一 座 桥

0NPtAv3_uVI,46,54,682611,clean,82,Chinese,一个 穿 着 救生衣 的 女人 在 湖边 滑雪 。

UnWgz-mVMXU,2,6,702553,unverified,79,Chinese,一个 男生 从 天台跳 向 升旗杆 。

ZsrPKtx0qyg,7,15,550906,clean,27,Chinese,一 只 小 狗 在 尾巴 上 摇尾巴 。

X7sQq-Iu1gQ,12,22,682611,clean,82,Chinese,一个 男人 闭 着 眼睛 ， 对 着 麦克风 唱歌 。

HJHPB_Y8GZE,22,28,682611,clean,66,Chinese,一 只 狗 在 墙上 的 镜子 里 跑 来 跑 去 ， 对 着 他 的 狗吠 叫 。

_6OTzzK7t9Y,73,78,550906,clean,63,Chinese,在 混合 碗 中 混合 配料 的 人 。

MJNStEgDKXU,3,10,702553,unverified,34,Chinese,一 只 白狗 在 摇尾巴 。

4ge5_V-xhP0,138,142,215924,clean,53,Chinese,一个 人 从 冰箱 里 取出 葡萄汁 。

L9wD3kw-8FE,65,73,550906,clean,40,Chinese,一个 用 大 刀 砍 树 的 人

X_NLV2KCnIE,60,70,550906,clean,38,Chinese,一个 正在 开枪 的 人 。

o2X6UCaNqKA,27,36,682611,clean,90,Chinese,一个 戴 着 耳机 的 男人 向 目标 跑 去 ， 用 步枪 向 他们 射击 。

tgm4dRGBeJ0,289,294,702553,unverified,30,Chinese,一个 人 正在 骑脚 踏 车 。

qeKX-N1nKiM,106,115,682611,clean,127,Chinese,一个 女人 把 水 和 面粉 倒 进 金属 碗 里 ， 用 筷子 搅拌 。

ACOmKiJDkA4,121,128,682611,clean,69,Chinese,一个 女人 正在 用 筷子 炒肉 。

zMg9dChF97A,12,38,550906,clean,37,Chinese,马铃薯 正在 切 菜板 上 切 土豆 。

_yUiusXxfWI,150,165,550906,clean,48,Chinese,黄麻酒 正在 锅 里 煮 。

FH8vgAp4VDU,10,14,702553,unverified,29,Chinese,一个 男人 走 下 楼梯 。

53dc4z7HLyg,25,29,682611,clean,148,Chinese,一 只 海豚 躺 在 一个 码头 上 的 一个 女孩 的 头顶 上 ， 而 另 一个 人 在 用 它 的 嘴 做 什么 。

